,FORWARD_AND_TURN_LITTLE_LEFT,FORWARD,FORWARD_AND_TURN_LITTLE_RIGHT,FORWARD_AND_HARD_LEFT,FORWARD_AND_HARD_RIGHT
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,-2.71,-1.0,0.0,-2.71,0.0
6,0.0,-1.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0
14,0.12352320000000001,0.0,0.48039601600000004,0.12352320000000001,0.12352320000000001
15,0.0,0.0,0.29404,0.12352320000000001,0.0
16,0.0,0.0,0.29404,0.0,0.12352320000000001
17,-4.695486464424059,-2.9535563897661876,4.999999387677768,-4.441042815479246,-1.1028795002962766
18,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.10800000000000001,0.1
21,0.10869120000000002,0.1,0.20652139008000003,0.10864000000000001,0.10800000000000001
22,0.0,0.11584000000000001,0.513514910592,0.0,0.29404
23,-4.782461489429315,-3.8282130222647397,4.999999999999979,-4.842362014164586,-4.688327318656123
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.05
27,0.0,0.0,0.099,0.0,0.0
28,0.0,0.0,0.05,0.0,0.0
29,2.177896949455596,2.1652512987947423,2.499248195467665,1.7175050887575964,2.383670003830231
30,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,-1.0
32,0.0,0.0,-2.71,0.0,-1.9
33,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,-1.9,0.0,-1.0
35,-10.566190665417665,-6.52140967392,-15.217127683292194,-12.970960015878,-14.70854682777453
