,FORWARD_AND_TURN_LITTLE_LEFT,FORWARD,FORWARD_AND_TURN_LITTLE_RIGHT,FORWARD_AND_HARD_LEFT,FORWARD_AND_HARD_RIGHT
0,-10.0,0.0,0.0,0.0,0.0
1,-77.123207545039,-10.0,0.0,-27.1,0.0
2,-10.0,0.0,0.0,-19.0,-10.0
3,-79.4108867905351,-19.0,0.0,-10.0,0.0
4,-40.951,0.0,0.0,-10.0,0.0
5,-98.80274848174378,-19.0,0.0,-46.8559,0.0
6,-114.19585070041735,-115.15005323046866,-102.3312588224423,-99.33718521242514,-19.8
7,-2.4889835177318775,-2.3304883727714936,-25.006340039199145,-2.3560855892849673,-10.002170883676776
8,-0.4577500000000001,-0.198,-10.689668,-0.37342000000000003,-4.35184
9,-1.5243233457148349,-1.8105461133471525,-9.00790089514794,-1.6006289682924255,-7.591392357547941
10,-0.9963432462510202,-1.4782165923912387,-18.708620787494,-1.0864710537308722,-3.0635232
11,-4.2216849959659495,-4.2556940746853344,-26.752254312634744,-4.244174515120954,-14.271029033091965
12,0.0,0.0,0.0,0.0,-10.0
13,-0.1,-0.19,0.0,-0.19,-1.6
14,0.268,0.0,0.0,6.17484,-1.06736
15,4.503355190248274,7.58717315260596,-1.2320000000000002,25.867596145135295,-3.02050835072
16,1.60384806195949,6.466529616191157,-0.975515741863895,10.978995875812203,-8.103216424587648
17,28.997896974106585,54.99990149863065,24.888763763302173,35.31478527714613,27.72543570762029
18,0.0,0.0,0.0,0.0,0.0
19,-0.9146359655622656,-0.9270926607560863,-11.065494608800002,-1.0592790563665744,-8.396008000000002
20,0.1,0.2858912,0.0,2.1864672,-2.652
21,1.0562469202624092,7.3144627780011815,-5.114722432046639,9.200718296294625,-6.893397345581669
22,1.8680535399132825,4.10218586575219,-7.822094796829897,1.2329804246831442,-6.643608016216106
23,4.8501366389845515,4.996089522411889,-10.043952604616035,3.8466231915546714,-10.039885704733782
24,-10.0,-10.0,0.0,0.0,0.0
25,-0.1,-0.198,-3.04,-0.1,-1.6
26,0.0,0.0,0.0,0.0,0.0
27,0.0,0.28539404784,-2.7470800000000004,0.0,-2.7550000000000003
28,0.05,0.6192173230343488,0.0,0.054000000000000006,-2.7470544
29,0.6024573165074318,1.6797422250342098,-12.056376972986136,0.23882169523269603,-12.250181375832877
30,0.0,0.0,0.0,0.0,-10.0
31,-19.0,0.0,0.0,0.0,0.0
32,-10.0,0.0,0.0,0.0,-19.0
33,0.0,0.0,0.0,0.0,-10.0
34,0.0,0.0,0.0,0.0,-10.0
35,-77.24656158318001,-87.8226690547244,-83.88610002423898,-35.91,-38.815920000000006
36,-29.908702418334883,0.0,0.0,-29.600916160581264,0.0
37,-29.78791048529547,0.0,0.0,-29.324148013651826,0.0
38,-29.391733212286642,0.0,0.0,-28.586961390826126,0.0
39,-17.0859837,0.0,0.0,-19.539646797,0.0
