,FORWARD_AND_TURN_LITTLE_LEFT,FORWARD,FORWARD_AND_TURN_LITTLE_RIGHT,FORWARD_AND_HARD_LEFT,FORWARD_AND_HARD_RIGHT
0,0.0,0.0,0.0,0.0,0.0
1,-1.0,-1.0,-1.0,-3.439,0.0
2,-3.439,-4.68559,0.0,-2.71,0.0
3,-3.439,0.0,0.0,-4.68559,0.0
4,-1.9,-1.9,0.0,-3.439,0.0
5,-5.217031,-4.68559,0.0,-8.905810108684877,0.0
6,-15.908589828750749,-16.403201868482203,-10.442110976395739,-15.96044779042969,-8.080303311107201
7,0.0,0.0,-9.418502629969598,0.0,-11.56848113175585
8,0.0,0.0,-7.941088679053509,0.0,-11.1872012575065
9,0.0,0.0,-6.8618940391,0.0,-9.7698233985
10,0.0,0.0,-3.439,0.0,-9.7698233985
11,0.0,0.0,-9.765185200383257,0.0,-13.670559282052126
12,-6.972421510000001,-8.66197021519,-10.585883721383116,-9.03768371794684,-2.934
13,0.0,0.0,0.0,0.0,-8.54299185
14,14.931187964704447,13.521841387893614,15.212887449267471,30.983808121442326,-0.6140284495823316
15,28.280514833117923,30.549515463905447,36.88826836047924,46.765944222382785,17.818938639941997
16,44.496322679999416,44.99737903739422,44.91628903461456,54.99999869436298,29.53238597550137
17,43.1599830946114,54.760695843454435,43.528759735166624,44.78053707765102,26.46832276070418
18,-6.070175100000001,-3.6558,-6.11269038,-1.0,-1.9
19,0.0,0.0,0.0,0.0,-6.14265
20,1.1173265757203799,0.8409679437700257,4.9998219301550995,0.9546819023513439,-8.9920285893813
21,2.851114920254753,1.1848047565855215,4.998880517027163,2.1682613481472557,-9.353894699008302
22,1.9234654787828211,3.410139241394347,4.999522310528673,2.9668056805876297,-10.400315743031763
23,3.953456945951926,4.994265835037171,4.999996135810948,3.0516829199035005,-9.922420798870867
24,0.0,-1.9,-4.68559,0.0,-1.0
25,0.0,0.0,0.0,0.0,-10.29284105865
26,0.4444137012033586,0.3336324163134459,2.3664440938107223,0.26269222097782535,-2.644128200396249
27,0.7394779524063092,0.9196466098584783,2.4791808946841716,0.1955640400705584,-8.213205763397319
28,0.6238019701712272,0.7607197867630692,2.489091767902995,0.33781266296938983,-6.794841325632001
29,1.4773107304981785,1.0701202484119126,2.462658055486589,1.3086159822136008,-6.779565763296227
30,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,-6.12579511,0.0,0.0
32,0.0,0.0,-9.721871610556308,0.0,-4.0951
33,0.0,0.0,-6.8618940391,0.0,-1.0
34,0.0,0.0,-6.12579511,0.0,0.0
35,-1.0,-1.0,0.0,-2.71,-2.71
